Dataset,Feature,N,Skewness,Kurtosis,Shapiro_Wilk_Stat,Shapiro_Wilk_pvalue,Anderson_Darling_Stat,AD_Is_Gaussian_5pct,DAgostino_K2_Stat,DAgostino_K2_pvalue,Practically_Normal,Formal_Consensus,Approx_Gaussian
MIMIC-IV,QRS_Dur_Global,407446,0.752172262696541,0.8890739739510671,0.971194311761356,1.4287092274907666e-30,3042.454673723725,False,37443.46038108629,0.0,True,False,True
MIMIC-IV,QRS_Dur_Global_count,407446,0.8874344422246127,1.0547904101360812,0.9483275972906341,9.492525116490481e-39,5716.507463497168,False,48601.61326293697,0.0,True,False,True
MIMIC-IV,QRS_Dur_Global_iqr,407446,1.6211545629077813,7.963076197153452,0.9129452575816722,6.612647166283177e-47,4026.8693364210194,False,155206.18733417994,0.0,False,False,False
MIMIC-IV,Q_Amp_I,407446,24.594292134627878,4870.952732462301,0.38524598686711786,1.112610294572088e-84,43193.46773799759,False,998136.0153447662,0.0,False,False,False
MIMIC-IV,Q_Amp_II,407446,8.621503712368343,1023.4745790809886,0.7989811171623558,1.1008267544178104e-61,29369.75868439226,False,637430.3152082434,0.0,False,False,False
MIMIC-IV,Q_Amp_III,407446,33.16106176902543,6507.810547779167,0.6463579033972455,7.702898295663638e-73,17835.270515961514,False,1116095.8668386568,0.0,False,False,False
MIMIC-IV,Q_Amp_III_count,407446,0.8883875138143162,1.0545099654317696,0.9482124898685549,8.79636232796176e-39,5727.42975444044,False,48665.906689542295,0.0,True,False,True
MIMIC-IV,Q_Amp_III_iqr,407446,307.99727682858327,112526.98383638753,0.379023633633366,6.64107466638525e-85,117308.55846319976,False,2247193.860885081,0.0,False,False,False
MIMIC-IV,Q_Amp_II_count,407446,0.8883875138143162,1.0545099654317696,0.9482124898685549,8.79636232796176e-39,5727.42975444044,False,48665.906689542295,0.0,True,False,True
MIMIC-IV,Q_Amp_II_iqr,407446,336.77312945515337,134657.17124432363,0.3763674620454285,5.33537969491653e-85,120920.84952955157,False,2301848.9653866673,0.0,False,False,False
MIMIC-IV,Q_Amp_I_count,407446,0.8883875138143162,1.0545099654317696,0.9482124898685549,8.79636232796176e-39,5727.42975444044,False,48665.906689542295,0.0,True,False,True
MIMIC-IV,Q_Amp_I_iqr,407446,385.94449401352443,186333.53358669963,0.3353542668849724,2.0044673127491992e-86,122572.50373130885,False,2386734.1581515437,0.0,False,False,False
MIMIC-IV,Q_Amp_V1,407446,13.608993131722748,3412.2292154959578,0.6278590888428006,6.807562678043768e-74,43919.92393728142,False,790419.869236398,0.0,False,False,False
MIMIC-IV,Q_Amp_V1_count,407446,0.8883875138143162,1.0545099654317696,0.9482124898685549,8.79636232796176e-39,5727.42975444044,False,48665.906689542295,0.0,True,False,True
MIMIC-IV,Q_Amp_V1_iqr,407446,216.8590121567657,59124.29046628834,0.33523042874273035,1.9852378729172224e-86,129760.41172017879,False,2039376.4959020836,0.0,False,False,False
MIMIC-IV,Q_Amp_V2,407446,9.917678930654064,1420.2898114043137,0.6542213004208663,2.2329471471599858e-72,16143.200089535967,False,682369.241077146,0.0,False,False,False
MIMIC-IV,Q_Amp_V2_count,407446,0.8883875138143162,1.0545099654317696,0.9482124898685549,8.79636232796176e-39,5727.42975444044,False,48665.906689542295,0.0,True,False,True
MIMIC-IV,Q_Amp_V2_iqr,407446,229.5755402459805,70171.80213189637,0.04404543406532313,8.668098756192134e-95,118086.82019035215,False,2072731.9027661167,0.0,False,False,False
MIMIC-IV,Q_Amp_V3,407446,9.104519325627605,1088.0162986353832,0.7679537669529735,1.9830295366336935e-64,13153.228890852828,False,653633.0829441282,0.0,False,False,False
MIMIC-IV,Q_Amp_V3_count,407446,0.8883875138143162,1.0545099654317696,0.9482124898685549,8.79636232796176e-39,5727.42975444044,False,48665.906689542295,0.0,True,False,True
MIMIC-IV,Q_Amp_V3_iqr,407446,179.2132847440013,43301.75425896166,0.290383900889011,6.675120322771635e-88,119055.95183210529,False,1931050.680263946,0.0,False,False,False
MIMIC-IV,Q_Amp_V4,407446,11.81248743763062,1271.252332976169,0.461126439098432,8.914757617348589e-82,33518.01272829517,False,732334.1121407091,0.0,False,False,False
MIMIC-IV,Q_Amp_V4_count,407446,0.8883875138143162,1.0545099654317696,0.9482124898685549,8.79636232796176e-39,5727.42975444044,False,48665.906689542295,0.0,True,False,True
MIMIC-IV,Q_Amp_V4_iqr,407446,158.21562642347166,33962.692454106036,0.0246957294011676,2.919512432049189e-95,122723.65640396299,False,1861706.0271102472,0.0,False,False,False
MIMIC-IV,Q_Amp_V5,407446,19.39608721919928,2836.0769892795797,0.6080535200590569,5.668845318538383e-75,52767.62544850074,False,906152.7337288901,0.0,False,False,False
MIMIC-IV,Q_Amp_V5_count,407446,0.8883875138143162,1.0545099654317696,0.9482124898685549,8.79636232796176e-39,5727.42975444044,False,48665.906689542295,0.0,True,False,True
MIMIC-IV,Q_Amp_V5_iqr,407446,191.12073186601177,47903.68456928267,0.08162364559030344,7.588231843038164e-94,126545.58214626391,False,1967226.4693666454,0.0,False,False,False
MIMIC-IV,Q_Amp_V6,407446,26.934314690063054,4827.193888213958,0.3121660592005884,3.3857531865593445e-87,63414.3591782304,False,1032124.9887569742,0.0,False,False,False
MIMIC-IV,Q_Amp_V6_count,407446,0.8883875138143162,1.0545099654317696,0.9482124898685549,8.79636232796176e-39,5727.42975444044,False,48665.906689542295,0.0,True,False,True
MIMIC-IV,Q_Amp_V6_iqr,407446,199.90498419097986,52162.34936814955,0.09931388716015499,2.164704610027358e-93,130303.85903342522,False,1992784.8365000156,0.0,False,False,False
MIMIC-IV,Q_Amp_aVF,407446,42.33366212334494,7268.331210825339,0.5115384682344677,1.2060030375552037e-79,31829.020862177247,False,1217103.415902367,0.0,False,False,False
